Model,Score
AMD Ryzen 7 PRO 2700X,16908
AMD Ryzen 7 Extreme Edition,16903
AMD Ryzen 5 6600U,16846
Intel Core i7-12700TE,16833
AMD Ryzen Threadripper 1900X,16791
Intel Core Ultra 7 165U,16756
AMD Ryzen 7 4800U,16740
AMD Ryzen 5 PRO 6650U,16729
AMD Ryzen Embedded V2748,16706
Intel Xeon E5-2689 v4 @ 3.10GHz,16703
Intel Xeon Gold 5118 @ 2.30GHz,16669
Intel Xeon Gold 6134 @ 3.20GHz,16651
Intel Core i5-12500T,16621
Intel Xeon E-2336 @ 2.90GHz,16621
Intel Core i9-9900 @ 3.10GHz,16566
Intel Xeon E5-2695 v3 @ 2.30GHz,16566
Intel Xeon E5-2690 v3 @ 2.60GHz,16560
Intel Core i5-1335U,16527
Intel Core i7-10700 @ 2.90GHz,16505
Intel Core i7-10700F @ 2.90GHz,16481
Intel Xeon Silver 4214Y @ 2.20GHz,16442
Intel Core i7-10700E @ 2.90GHz,16418
AMD Ryzen 5 7530U,16402
Intel Xeon E-2278GE @ 3.30GHz,16401
AMD Ryzen 7 1800X,16397
AMD Ryzen 5 7535U,16386
AMD Ryzen 5 PRO 4655G,16355
AMD Ryzen 5 PRO 4400G,16354
Intel Core i7-10700TE @ 2.00GHz,16332
Intel Xeon E5-2698B v3 @ 2.00GHz,16287
Intel Core i7-11600H @ 2.90GHz,16268
Intel Xeon w3-2423,16264
Intel Core i5-12400T,16262
AMD Ryzen 5 PRO 4650G,16222
Intel Xeon D-2733NT @ 2.10GHz,16206
Intel Xeon Silver 4214 @ 2.20GHz,16190
Intel Xeon E E-2434,16187
Intel Xeon E5-2660 v4 @ 2.00GHz,16183
Intel Core i7-11700T @ 1.40GHz,16178
Intel Core i5-11500H @ 2.90GHz,16170
AMD Ryzen 5 4500,16146
Intel Core i3-1220PE,16146
Intel Xeon E5-2669 v3 @ 2.30GHz,16107
AMD Ryzen 7 PRO 5875U,16088
AMD Ryzen Embedded V2718,16075
AMD Ryzen 5 4600G,16024
Intel Xeon W-11865MLE @ 1.50GHz,15958
AMD Ryzen 7 4850U Mobile,15920
AMD Ryzen 7 5700U,15874
AMD Ryzen 5 4600GE,15823
Intel Core i9-13900TE,15819
Intel Xeon Gold 5117 @ 2.00GHz,15816
Intel Core i5-11400H @ 2.70GHz,15777
Intel Core i5-11260H @ 2.60GHz,15737
AMD Ryzen 7 2700,15727
Intel Xeon W-10885M @ 2.40GHz,15711
AMD Ryzen 7 1700X,15669
Intel Xeon Gold 5215 @ 2.50GHz,15624
AMD Ryzen 7 PRO 1700X,15612
Intel Core i9-10980HK @ 2.40GHz,15598
AMD Ryzen 5 PRO 4650GE,15580
AMD Ryzen Embedded V3C18I,15541
Intel Xeon D-1726 @ 2.90GHz,15511
AMD Ryzen 5 5600U,15478
AMD Ryzen 5 PRO 7530U,15430
Intel Xeon Gold 5217 @ 3.00GHz,15429
Intel Xeon E5-4667 v3 @ 2.00GHz,15397
Intel Core i3-14100,15391
Apple M2 8 Core 3500 MHz,15384
Intel Core i5-1345U,15384
Intel Xeon E5-4660 v4 @ 2.20GHz,15375
Intel Core i7-1355U,15309
Intel Core i3-14100F,15300
AMD Ryzen 7 PRO 2700,15280
Intel Xeon E5-2680 v3 @ 2.50GHz,15280
AMD Ryzen 7 PRO 4750U,15228
Intel Xeon Silver 4116T @ 2.10GHz,15187
Intel Core i9-10885H @ 2.40GHz,15183
Intel Core i7-1365U,15162
Intel Xeon Silver 4215R @ 3.20GHz,15140
Intel Xeon E-2286M @ 2.40GHz,15130
Intel Xeon D-2166NT @ 2.00GHz,15105
AMD Ryzen 5 5560U,15096
Intel Xeon Silver 4210R @ 2.40GHz,15075
Intel Xeon Silver 4116 @ 2.10GHz,15065
Intel Core i9-10900T @ 1.90GHz,15023
AMD Ryzen 5 5625U,15018
AMD EPYC 7301,14991
Intel Core i7-10875H @ 2.30GHz,14962
AMD EPYC 7251,14935
AMD Ryzen 5 PRO 5650U,14891
Intel Xeon E5-2658A v3 @ 2.20GHz,14879
Intel Xeon D-1733NT @ 2.00GHz,14849
Intel Xeon E5-2683 v3 @ 2.00GHz,14837
Intel Xeon E5-1681 v3 @ 2.90GHz,14820
AMD Ryzen 7 1700,14813
AMD Ryzen 5 PRO 4400GE,14795
Intel Core i3-13100,14737
Intel Core i5-11600T @ 1.70GHz,14713
Intel Core i3-12300,14695
Intel Xeon E5-2687W v3 @ 3.10GHz,14690
AMD Ryzen 7 PRO 1700,14677
Montage Jintide C4215R,14672
Intel Xeon E5-2678 v3 @ 2.50GHz,14662
Intel Core i3-13100F,14661
AMD Ryzen 7 2700E,14657
Intel Xeon Gold 5115 @ 2.40GHz,14649
Intel Core i9-10880H @ 2.30GHz,14642
AMD Ryzen 5 PRO 5675U,14613
Intel Core i7-6900K @ 3.20GHz,14583
Intel Core i5-12500TE,14568
Intel Core i7-10870H @ 2.20GHz,14544
AMD Ryzen 5 4600H,14498
Intel Core i7-9700K @ 3.60GHz,14485
Intel Xeon W-1250P @ 4.10GHz,14440
Intel Xeon Silver 4215 @ 2.50GHz,14439
AMD Ryzen 5 PRO 4655GE,14436
Intel Xeon E5-2658 v4 @ 2.30GHz,14434
Intel Xeon W-2135 @ 3.70GHz,14423
Intel Core i3-1220P,14407
Intel Xeon Silver 4123 @ 3.00GHz,14405
Intel Xeon W-2235 @ 3.80GHz,14378
Intel Xeon E5-2666 v3 @ 2.90GHz,14353
Intel Core i7-9700KF @ 3.60GHz,14342
Intel Core i5-10600K @ 4.10GHz,14333
Intel Core i7-8086K @ 4.00GHz,14328
AMD Ryzen 5 4600HS,14322
Intel Xeon E5-2673 v3 @ 2.40GHz,14302
Intel Xeon E5-2697 v2 @ 2.70GHz,14298
Intel Core i5-10600KF @ 4.10GHz,14268
Intel Xeon E5-4660 v3 @ 2.10GHz,14256
Intel Xeon D-1732TE @ 1.90GHz,14254
Intel Core i3-12100E,14250
Apple M1 8 Core 3200 MHz,14187
Intel Core i3-12100F,14164
Intel Xeon E-2236 @ 3.40GHz,14149
Intel Core i5-1334U,14142
Intel Core i9-9980HK @ 2.40GHz,14119
Intel Xeon E5-2696 v2 @ 2.50GHz,14061
Intel Xeon E5-1680 v4 @ 3.40GHz,14054
Intel Core i7-1265U,14047
Intel Xeon E-2286G @ 4.00GHz,13994
Intel Xeon E-2186G @ 3.80GHz,13955
Intel Core i7-1260U,13937
AMD Ryzen 5 2600X,13925
AMD EPYC 3251,13912
Intel Xeon E-2246G @ 3.60GHz,13898
Intel Xeon E5-2667 v4 @ 3.20GHz,13876
Intel Xeon E-2276G @ 3.80GHz,13873
AMD Ryzen 3 PRO 5350G,13864
Intel Core i9-9880H @ 2.30GHz,13846
Intel Xeon E5-2650 v4 @ 2.20GHz,13799
Intel Core i7-1255U,13775
Intel Core i5-1240U,13745
Intel Xeon E5-2676 v3 @ 2.40GHz,13739
Intel Core i5-10600 @ 3.30GHz,13684
Intel Xeon W-1250 @ 3.30GHz,13679
Intel Core i7-8700K @ 3.70GHz,13667
Intel Xeon E5-2670 v3 @ 2.30GHz,13619
Intel Xeon E-2374G @ 3.70GHz,13607
Intel Xeon E5-1660 v4 @ 3.20GHz,13575
Intel Xeon W-1270TE @ 2.00GHz,13553
Intel Core i5-1235U,13545
Intel Xeon E-2176G @ 3.70GHz,13543
Intel Core i3-12100,13532
Intel Core i5-1245U,13531
Intel Core i5-11400T @ 1.30GHz,13520
AMD Ryzen 5 PRO 2600,13517
Intel Xeon E5-2658 v3 @ 2.20GHz,13487
Intel Xeon E5-2690 v2 @ 3.00GHz,13471
Intel Xeon E-2136 @ 3.30GHz,13453
AMD Ryzen 3 PRO 5350GE,13448
AMD Ryzen 5 4600U,13445
AMD Ryzen 7 4700U,13429
Intel Xeon Gold 6128 @ 3.40GHz,13427
Intel Xeon Silver 4210 @ 2.20GHz,13407
AMD Ryzen 3 5300GE,13332
Intel Xeon D-1581 @ 1.80GHz,13282
Intel Core i7-9700F @ 3.00GHz,13267
Intel Xeon E5-2695 v2 @ 2.40GHz,13264
Intel Xeon E-2146G @ 3.50GHz,13260
Intel Core i3-12300T,13251
Intel Core i7-9700 @ 3.00GHz,13227
Intel Core i9-9900T @ 2.10GHz,13224
Intel Xeon E5-2660 v3 @ 2.60GHz,13213
Intel Core i3-13100T,13210
AMD Ryzen 5 2600,13207
AMD Ryzen 5 3500X,13189
Intel Xeon E5-2675 v3 @ 1.80GHz,13180
Intel Xeon E5-1680 v3 @ 3.20GHz,13132
Intel Xeon Silver 4114 @ 2.20GHz,13127
AMD Ryzen 5 5500U,13094
AMD Ryzen 5 1600X,13068
Intel Core i5-11500T @ 1.50GHz,13053
Intel Xeon D-1587 @ 1.70GHz,13019
AMD Ryzen Embedded V2516,13016
Intel Xeon E5-4627 v4 @ 2.60GHz,12969
Intel Xeon E5-2685 v3 @ 2.60GHz,12944
Intel Xeon E-2334 @ 3.40GHz,12929
Intel Core i7-9700E @ 2.60GHz,12911
AMD Ryzen 3 5300G,12889
Intel Core i7-8700 @ 3.20GHz,12879
Intel Core i7-7800X @ 3.50GHz,12872
Intel Xeon W-10855M @ 2.80GHz,12863
AMD Ryzen 3 PRO 7330U,12846
Intel Core i7-10700T @ 2.00GHz,12810
AMD Ryzen 5 3500,12781
AMD Ryzen 5 PRO 4650U,12741
Intel Xeon E5-1680 v2 @ 3.00GHz,12741
Intel Core i5-10500 @ 3.10GHz,12739
Intel Core i7-5960X @ 3.00GHz,12725
Intel Core i3-12100T,12675
AMD Ryzen 3 3300X,12659
Intel Core i3-1315U,12657
Intel Xeon W-2133 @ 3.60GHz,12649
Intel Xeon E5-2650L v4 @ 1.70GHz,12646
Intel Xeon E5-2680 v2 @ 2.80GHz,12601
Intel Xeon W-11555MLE @ 1.90GHz,12591
Intel Xeon E5-2667 v3 @ 3.20GHz,12572
Intel Xeon E5-1660 v3 @ 3.00GHz,12522
Intel Xeon E5-4628L v4 @ 1.80GHz,12461
Intel Xeon D-2143IT @ 2.20GHz,12461
Intel Xeon E5-2618L v4 @ 2.20GHz,12406
Intel Xeon E5-2649 v3 @ 2.30GHz,12399
Intel Xeon E5-2640 v4 @ 2.40GHz,12356
Intel Core i3-12100TE,12314
AMD Ryzen 5 1600,12282
Intel Core i7-1250U,12268
Intel Xeon E5-2667 v2 @ 3.30GHz,12266
Intel Xeon E5-2687W v2 @ 3.40GHz,12265
Apple A17 Pro,12235
Intel Xeon W-1250E @ 3.50GHz,12212
Intel Core i5-10505 @ 3.20GHz,12209
Intel Core i5-10400F @ 2.90GHz,12204
Intel Core i5-10400 @ 2.90GHz,12134
Intel Xeon E5-2673 v2 @ 3.30GHz,12128
Intel Xeon E5-2692 v2 @ 2.20GHz,12119
Intel Xeon D-2141I @ 2.20GHz,12117
AMD Ryzen 5 PRO 4500U,12117
Intel Xeon E-2278GEL @ 2.00GHz,12024
Intel Core i7-8700B @ 3.20GHz,11972
Intel Core i7-10750H @ 2.60GHz,11967
Intel Xeon E5-2650 v3 @ 2.30GHz,11924
Intel Xeon E E-2414,11923
Intel Xeon E5-2650L v3 @ 1.80GHz,11880
Intel Core i7-11375H @ 3.30GHz,11874
Snapdragon 8cx Gen 3 @ 3.0 GHz,11853
Intel Core i7-10850H @ 2.70GHz,11840
QTI SM8650,11832
ARM Neoverse-N1 32 Core 1700 MHz,11820
Intel Xeon E-2276M @ 2.80GHz,11800
Intel Xeon E5-2663 v3 @ 2.80GHz,11777
ARM Neoverse-N1 80 Core 2800 MHz,11755
Intel CC150 @ 3.50GHz,11745
Intel Xeon D-2146NT @ 2.30GHz,11736
Intel Core i7-11370H @ 3.30GHz,11735
Intel Xeon E5-2630 v4 @ 2.20GHz,11716
Microsoft SQ3 @ 3.0 GHz,11713
Intel Xeon Platinum 8481C @ 2.70GHz,11681
Intel Core i3-13100E,11650
Intel Xeon D-1577 @ 1.30GHz,11645
AMD Ryzen 3 3100,11619
Intel Xeon E5-4657L v2 @ 2.40GHz,11613
AMD Ryzen 5 5500H,11558
Intel Xeon E5-2648L v4 @ 1.80GHz,11547
Intel Xeon E5-4669 v4 @ 2.20GHz,11523
Intel Core i7-6850K @ 3.60GHz,11465
Intel Xeon E5-1650 v4 @ 3.60GHz,11454
Intel Xeon E-2186M @ 2.90GHz,11454
AMD Ryzen 3 5425U,11438
Intel Xeon Silver 4208 @ 2.10GHz,11384
Intel Core i3-11100B @ 3.60GHz,11357
AMD Ryzen 3 PRO 5475U,11354
Intel Xeon E5-4627 v3 @ 2.60GHz,11344
AMD Ryzen 3 PRO 4200G,11315
Intel Xeon E5-2670 v2 @ 2.50GHz,11292
Intel Core i3-11100HE @ 2.40GHz,11289
Intel Core i5-10500H @ 2.50GHz,11272
Intel Core i5-10600T @ 2.40GHz,11266
AMD Ryzen 5 PRO 1600,11240
AMD Ryzen 3 4300GE,11216
Intel Core i7-9850H @ 2.60GHz,11163
Intel Xeon E5-2640 v3 @ 2.60GHz,11160
Intel Xeon E5-2643 v4 @ 3.40GHz,11128
Hygon C86 3250 8-core,11114
Apple A16 Bionic,11112
AMD Ryzen 3 PRO 5450U,11090
Intel Xeon Silver 4209T @ 2.20GHz,11080
AMD Ryzen 3 4100,11079
Intel Xeon E5-2628L v4 @ 1.90GHz,11079
Intel Xeon E-2226G @ 3.40GHz,11073
AMD Ryzen 3 7330U,11067
Intel Xeon E5-4650 v2 @ 2.40GHz,11064
AMD Ryzen 3 5400U,11029
Intel Core i5-11320H @ 3.20GHz,11004
Apple A12X Bionic,10981
Intel Core i5-11300H @ 3.10GHz,10981
Intel Core i7-1365URE,10977
Intel Core i7-1195G7 @ 2.90GHz,10970
AMD Ryzen 5 4500U,10963
AMD Ryzen 3 PRO 4350GE,10957
AMD Ryzen 3 4300G,10952
AMD Ryzen 3 PRO 4350G,10938
AMD Ryzen 3 PRO 4200GE,10930
Intel Core i7-9750H @ 2.60GHz,10908
Intel Xeon E-2176M @ 2.70GHz,10881
Intel Xeon E5-2618L v3 @ 2.30GHz,10881
Intel Core i3-1215U,10875
Intel Core i5-1230U,10863
Intel Xeon E5-4650 v3 @ 2.10GHz,10838
Intel Core i5-10500E @ 3.10GHz,10827
Intel Core i7-6800K @ 3.40GHz,10754
Intel Core i7-9700T @ 2.00GHz,10735
Intel Core i5-9600KF @ 3.70GHz,10729
Intel Core i5-9600K @ 3.70GHz,10696
Mediatek MT6989,10669
Intel Xeon E5-2660 v2 @ 2.20GHz,10647
Intel Core i3-1210U,10641
Intel Xeon E5-2470 v2 @ 2.40GHz,10612
Intel Core i7-1185G7E @ 2.80GHz,10601
Intel Core i7-9750HF @ 2.60GHz,10584
Intel Xeon W-2225 @ 4.10GHz,10566
Intel Core i9-8950HK @ 2.90GHz,10564
AMD Ryzen 3 PRO 4355GE,10559
Intel Xeon E-2126G @ 3.30GHz,10545
Intel Core i7-1185G7 @ 3.00GHz,10531
Intel Xeon E5-4620 v3 @ 2.00GHz,10525
Intel Xeon E5-2658 v2 @ 2.40GHz,10523
Intel Xeon E5-2630L v4 @ 1.80GHz,10491
Intel Xeon E5-2643 v3 @ 3.40GHz,10462
Intel Xeon D-1567 @ 2.10GHz,10447
Intel Xeon E5-2630 v3 @ 2.40GHz,10419
Intel Xeon E5-1650 v3 @ 3.50GHz,10419
Intel Xeon E5-4640 v3 @ 1.90GHz,10372
Intel Core i5-9600 @ 3.10GHz,10369
QTI QCS8550,10369
Samsung s5e9945,10362
Intel Xeon Silver 4109T @ 2.00GHz,10348
Intel Core i7-1165G7 @ 2.80GHz,10312
Intel Core i7-5930K @ 3.50GHz,10293
Intel Core i7-9700TE @ 1.80GHz,10280
Intel Xeon E5-1660 v2 @ 3.70GHz,10278
Intel Core i7-8850H @ 2.60GHz,10278
Intel Core i3-10325 @ 3.90GHz,10268
Intel Core i5-1155G7 @ 2.50GHz,10242
Intel Core i7-8700T @ 2.40GHz,10227
Intel Core i5-8600K @ 3.60GHz,10201
Intel Core i7-11390H @ 3.40GHz,10184
Intel Xeon Silver 4110 @ 2.10GHz,10165
Intel Xeon D-1541 @ 2.10GHz,10163
AMD Ryzen 3 PRO 4450U,10087
Intel Core i5-9500F @ 3.00GHz,10086
Intel U300E,10081
Intel Core i7-4960X @ 3.60GHz,10080
Intel Core i3-N305,10066
Intel Xeon D-1540 @ 2.00GHz,10061
Intel Core i5-10500T @ 2.30GHz,10053
Intel Core i3-10320 @ 3.80GHz,10027
Intel Xeon E5-2687W @ 3.10GHz,10005
Intel Xeon W-2125 @ 4.00GHz,9991
Intel Xeon E-2234 @ 3.60GHz,9961
Intel Xeon E5-2628L v3 @ 2.00GHz,9949
Intel Core i5-1145G7 @ 2.60GHz,9942
Intel Core i5-8600 @ 3.10GHz,9939
Intel Core i7-8750H @ 2.20GHz,9933
Intel Core i5-10400T @ 2.00GHz,9906
Apple A15 Bionic,9899
Intel Xeon E5-2650 v2 @ 2.60GHz,9899
Intel Core i7-7740X @ 4.30GHz,9868
Intel Core i5-1135G7 @ 2.40GHz,9856
Intel Core i7-5820K @ 3.30GHz,9852
Intel Core i5-9500TE @ 2.20GHz,9848
Intel Xeon E5-2648L v3 @ 1.80GHz,9847
Intel Core i5-9500 @ 3.00GHz,9805
Intel Xeon E-2324G @ 3.10GHz,9771
Intel Xeon E-2274G @ 4.00GHz,9760
Intel Xeon E-2174G @ 3.80GHz,9741
Intel Xeon E5-2690 @ 2.90GHz,9730
Intel Xeon E5-2689 @ 2.60GHz,9714
Intel Xeon D-1718T @ 2.60GHz,9713
AMD Ryzen 3 5300U,9710
Intel Core i3-1125G4 @ 2.00GHz,9699
Intel Core i7-10710U @ 1.10GHz,9696
Intel Core i7-7700K @ 4.20GHz,9656
Intel Core i5-1145G7E @ 2.60GHz,9643
Intel Core i3-1215UE,9643
AMD Ryzen 5 PRO 3350GE,9643
Hygon C86 3185 8-core,9627
Intel Xeon E5-4620 v2 @ 2.60GHz,9590
Intel Core i7-1068NG7 @ 2.30GHz,9587
Intel Xeon E-2244G @ 3.80GHz,9582
Intel Core i5-8500 @ 3.00GHz,9581
Intel Core i5-9600T @ 2.30GHz,9571
Intel Xeon E5-2651 v2 @ 1.80GHz,9544
AMD Ryzen 5 2500X,9503
Intel Core i3-1305U,9491
Intel Xeon Gold 5222 @ 3.80GHz,9489
Intel Core i5-9400F @ 2.90GHz,9485
AMD Ryzen 5 7520U,9451
Intel Core i5-1140G7 @ 1.10GHz,9441
Intel Core i5-1145GRE @ 2.60GHz,9428
Intel Xeon E5-2680 @ 2.70GHz,9400
Intel Core i7-4930K @ 3.40GHz,9395
Intel Pentium Gold 8505,9384
Intel Xeon E5-4655 v3 @ 2.90GHz,9377
Intel Core i5-9400 @ 2.90GHz,9370
Apple A12Z Bionic,9365
Snapdragon 8 Gen2 Mobile Platform for Galaxy,9362
Intel Xeon E5-1650 v2 @ 3.50GHz,9344
AMD Ryzen 5 3350GE,9343
Intel Xeon E5-4627 v2 @ 3.30GHz,9320
Intel Xeon E-2134 @ 3.50GHz,9317
AMD Ryzen 5 PRO 3350G,9304
Intel Core i3-10300 @ 3.70GHz,9304
Intel Core i5-8600T @ 2.30GHz,9298
Intel Xeon D-1557 @ 1.50GHz,9285
Intel Core i5-1245UE,9283
AMD Ryzen 5 3400G,9280
Mediatek MT6983W/CZA,9270
Intel Xeon E-2144G @ 3.60GHz,9270
Intel Xeon E3-1275 v6 @ 3.80GHz,9254
Intel Core i5-8400 @ 2.80GHz,9239
Intel Core i7-1160G7 @ 1.20GHz,9231
Intel Xeon E5-2450 v2 @ 2.50GHz,9227
Intel Core i7-1265UE,9195
Intel Xeon E5-2620 v4 @ 2.10GHz,9180
Intel U300,9169
QTI SM8550,9162
AMD Ryzen 5 PRO 3400G,9153
Intel Xeon E5-2629 v3 @ 2.40GHz,9139
Intel Xeon E5-2643 v2 @ 3.50GHz,9134
Intel Core i5-1038NG7 @ 2.00GHz,9117
Intel Core i3-10305 @ 3.80GHz,9115
Intel Core i7-9850HL @ 1.90GHz,9112
Mediatek MT8798Z/CNZA,9110
AMD Ryzen 5 PRO 1500,9106
Intel Xeon D-1715TER @ 2.40GHz,9104
AMD Ryzen 5 1500X,9094
Intel Xeon D-1548 @ 2.00GHz,9075
Intel Xeon E5-4648 v3 @ 1.70GHz,9061
Intel Xeon E3-1280 v6 @ 3.90GHz,9028
AMD Ryzen 5 3350G,9025
AMD Ryzen 3 7320U,9017
Intel Core i5-8500B @ 3.00GHz,9014
Intel Core i3-10105F @ 3.70GHz,9010
Intel Xeon E5-2670 @ 2.60GHz,8937
Intel Core i7-6700K @ 4.00GHz,8936
Intel Xeon E3-1270 v6 @ 3.80GHz,8933
AMD Ryzen 5 3400GE,8891
Intel Core i5-3170K @ 3.20GHz,8882
Intel Xeon Gold 5122 @ 3.60GHz,8843
Intel Xeon E5-2648L v2 @ 1.90GHz,8828
Intel Xeon Silver 4108 @ 1.80GHz,8816
Intel Xeon E3-1245 v6 @ 3.70GHz,8783
Intel Core i3-10100F @ 3.60GHz,8767
Intel Xeon E5-2630L v3 @ 1.80GHz,8765
AMD Ryzen 5 2400G,8734
ARM - 32 Core 3300 MHz,8732
Intel Xeon E3-1240 v6 @ 3.70GHz,8696
ARM X-Gene 32 Core 3300 MHz,8684
Intel Core i3-10100 @ 3.60GHz,8672
Intel Core i7-7700 @ 3.60GHz,8660
Intel Atom C5125,8631
Intel Xeon E5-4650 @ 2.70GHz,8630
Intel Core i5-1130G7 @ 1.10GHz,8627
AMD Ryzen 3 7320C,8614
ARM - 8 Core 2424 MHz,8610
Intel Core i3-10105 @ 3.70GHz,8598
AMD Ryzen Embedded V1807B,8588
Intel Xeon W-2223 @ 3.60GHz,8585
Intel Core i7-8809G @ 3.10GHz,8550
AMD EPYC 3201,8545
Apple A14 Bionic,8541
Intel Xeon E3-1285 v6 @ 4.10GHz,8536
Intel Xeon E5-4650L @ 2.60GHz,8533
Intel Xeon W-11155MLE @ 1.80GHz,8502
Intel Xeon W-2123 @ 3.60GHz,8501
AMD Ryzen 5 PRO 2400G,8498
Intel Core i7-8559U @ 2.70GHz,8486
AMD Ryzen Embedded R2544,8486
Intel Core i3-N300,8475
Intel Xeon E3-1275 v5 @ 3.60GHz,8462
Intel Core i5-10300H @ 2.50GHz,8461
Intel Core i7-3970X @ 3.50GHz,8461
Intel Core i5-10400H @ 2.60GHz,8456
Intel Core i5-10500TE @ 2.30GHz,8449
Intel Xeon E5-2628 v3 @ 2.50GHz,8447
AMD EPYC 3151,8425
Intel Xeon E3-1280 v5 @ 3.70GHz,8410
Intel Xeon E3-1585 v5 @ 3.50GHz,8408
Intel Xeon E5-1660 @ 3.30GHz,8405
Intel Core i5-9400T @ 1.80GHz,8400
Intel Core i7-3960X @ 3.30GHz,8394
Intel Core i7-1065G7 @ 1.30GHz,8377
Intel Core i3-10100E @ 3.20GHz,8365
Intel Xeon E3-1270 v5 @ 3.60GHz,8324
Intel Core i7-1180G7 @ 1.30GHz,8321
Intel Core i5-1035G7 @ 1.20GHz,8306
Intel Xeon E5-2470 @ 2.30GHz,8295
Intel Core i3-1315UE,8294
AMD Ryzen Embedded V1756B,8291
AMD Opteron 6386 SE,8291
Intel Xeon E3-1240 v5 @ 3.50GHz,8273
Mediatek Dimensity 9200 (MT6985),8269
AMD Ryzen 5 PRO 3400GE,8262
AMD Athlon Gold PRO 4150GE,8259
Intel Core i7-1185GRE @ 2.80GHz,8258
Intel Xeon E5-2665 @ 2.40GHz,8248
Intel Xeon E-2314 @ 2.80GHz,8237
Intel Xeon E3-1260L v5 @ 2.90GHz,8226
Intel Core i7-10810U @ 1.10GHz,8224
Intel Core i7-3930K @ 3.20GHz,8205
ARM X-Gene 32 Core 3000 MHz,8202
Intel Core i7-8569U @ 2.80GHz,8200
Intel Core i5-9500T @ 2.20GHz,8192
Intel Xeon E3-1230 v6 @ 3.50GHz,8172
Intel Xeon E-2276ME @ 2.80GHz,8167
AMD Ryzen 7 3750H,8167
Intel Core i5-10200H @ 2.40GHz,8162
Google Tensor G3,8157
Intel Core i3-10305T @ 3.00GHz,8136
ARM - 32 Core 2911 MHz,8132
Intel Xeon E5-2660 @ 2.20GHz,8131
Intel Xeon E5-1650 @ 3.20GHz,8099
Intel Core i7-6700 @ 3.40GHz,8095
Intel Core i7-8706G @ 3.10GHz,8095
Intel Xeon E3-1585L v5 @ 3.00GHz,8083
Intel Xeon E3-1285L v4 @ 3.40GHz,8074
Intel Core i7-4790K @ 4.00GHz,8067
Intel Core i5-8269U @ 2.60GHz,8055
Mediatek Dimensity 8200-Ultimate (MT6896),8046
CentaurHauls @2500MHz,8046
Intel Xeon E3-1245 v5 @ 3.50GHz,8038
Intel Core i3-10300T @ 3.00GHz,8036
Intel Core i3-10105T @ 3.00GHz,8035
Intel Xeon E3-1535M v6 @ 3.10GHz,8033
Intel Xeon D-1559 @ 1.50GHz,8015
AMD Ryzen 7 2800H,8013
Intel Core i5-1035G4 @ 1.10GHz,8009
Intel Xeon D-2712T @ 1.90GHz,7990
Intel Xeon E3-1230 v5 @ 3.40GHz,7961
Intel Xeon E3-1575M v5 @ 3.00GHz,7959
Intel Core i5-8259U @ 2.30GHz,7938
Intel Xeon E3-1515M v5 @ 2.80GHz,7938
Intel Core i7-8709G @ 3.10GHz,7926
Intel Core i5-9400H @ 2.50GHz,7908
Intel Core i7-995X @ 3.60GHz,7862
AMD Opteron 6348,7850
AMD Ryzen 5 2600H,7834
AMD Ryzen 5 3550H,7820
Intel Xeon E3-1545M v5 @ 2.90GHz,7815
Intel Xeon E3-1285 v4 @ 3.50GHz,7808
ARM Firestorm 4 Core 2064 MHz,7804
Intel Xeon E5-2620 v3 @ 2.40GHz,7802
AMD Ryzen Embedded V1807F,7775
AMD Ryzen 5 1400,7765
Intel Core i5-8400H @ 2.50GHz,7733
Mediatek MT6983Z/CZA,7726
Intel Core i7-5775C @ 3.30GHz,7713
Mediatek MT6897,7710
Intel Core i5-8500T @ 2.10GHz,7707
AMD Athlon Gold PRO 3150G,7702
Intel Core i3-9350K @ 4.00GHz,7700
Intel Core i7-5950HQ @ 2.90GHz,7696
Mediatek MT6895Z_A/TCZA,7686
AMD Ryzen 5 3550U,7681
Intel Core i7-8705G @ 3.10GHz,7680
Intel Xeon E5-1630 v4 @ 3.70GHz,7673
Mediatek MT6891Z/CZA,7671
ARM Firestorm-M1 4 Core 2064 MHz,7667
Intel Xeon E3-1270L v4 @ 3.00GHz,7662
Intel Xeon E5-2640 v2 @ 2.00GHz,7658
Intel Xeon E5-2440 v2 @ 1.90GHz,7655
Intel Core i5-9300H @ 2.40GHz,7629
Intel Core i7-7700T @ 2.90GHz,7625
Intel Xeon E-2224G @ 3.50GHz,7624
MediaTek MT6895,7615
QTI SM7475,7614
AMD Ryzen 5 PRO 2400GE,7611
Intel Core i7-5775R @ 3.30GHz,7596
Intel Core i5-8257U @ 1.40GHz,7595
Intel Core i5-8260U @ 1.60GHz,7591
Intel Xeon E5-2650L v2 @ 1.70GHz,7586
Intel Core i3-9350KF @ 4.00GHz,7549
Intel Xeon E5-2450 @ 2.10GHz,7534
AMD Ryzen 3 2300X,7532
Intel Xeon E3-1271 v3 @ 3.60GHz,7524
Intel Xeon E3-1535M v5 @ 2.90GHz,7522
AMD Ryzen 5 2400GE,7515
Intel Xeon E5-2667 @ 2.90GHz,7511
Intel Core i7-8557U @ 1.70GHz,7498
Intel Xeon D-1531 @ 2.20GHz,7483
Intel Xeon E5-2630 v2 @ 2.60GHz,7481
AMD Ryzen 3 4300U,7465
Intel Core i5-8300H @ 2.30GHz,7455
Intel Core i5-8279U @ 2.40GHz,7454
Intel Core i5-8400T @ 1.70GHz,7454
Intel Core i7-7820EQ @ 3.00GHz,7453
